Kanji,HanViet,nghĩa
堂,ĐƯỜNG,nhà lớn
場,TRƯỜNG,công trường
士,SĨ,binh sĩ
声,THANH,âm thanh
売,MẠI,bán
夂,BỘ TRUY,
冬,ĐÔNG,mùa đông
変,BIẾN,biến đổi
夏,HẠ,mùa hè
夕,TỊCH,buổi tối
外,NGOẠI,bên ngoài
多,ĐA,nhiều
夜,DẠ,buổi tối
大,ĐẠI,"to, lớn"
太,THÁI,mập
天,THIÊN,trời
夫,PHU,chồng
失,THẤT,thất bại
女,NỮ,con gái
好,HẢO,thích
妻,THÊ,vợ
姉,TỶ,chị
妹,MUỘI,em gái
始,THỦY,bắt đầu
婦,PHỤ,phụ nữ
婚,HÔN,kết hôn
子,TỬ,con
字,TỰ,chữ
学,HỌC,học sinh
宀,BỘ MIÊN,
安,AN,an toàn
実,THỰC,thực tế
室,THẤT,phòng
家,GIA,gia đình
宿,TÚC,tá túc
富,PHÚ,giàu có
寒,HÀN,lạnh (thời tiết)
寝,TẨM,ngủ
寸,BỘ THỐN,
寺,TỰ,chùa
将,TƯỚNG,tương lai
小,TIỂU,nhỏ
少,THIỂU,ít
尸,BỘ THI,
屋,ỐC,phòng ốc
山,SƠN,núi
川,XUYÊN,sông
工,CÔNG,công trường
左,TẢ,bên trái
己,KỶ,bản thân
